time_s,target_kmh,meas_kmh,cmd
28.5004,60.0000,57.3474,0.4779
28.5509,60.0000,57.3474,0.4779
28.6009,60.0000,57.3474,0.4779
28.6504,60.0000,57.3474,0.4779
28.7009,60.0000,57.3474,0.4779
28.7508,60.0000,57.3474,0.4779
28.8004,60.0000,57.3474,0.4779
28.8505,60.0000,57.3474,0.4779
28.9004,60.0000,57.3474,0.4779
28.9508,60.0000,57.3474,0.4779
29.0008,60.0000,57.3474,0.4779
29.0505,60.0000,57.3474,0.4779
29.1004,60.0000,57.3474,0.4779
29.1504,60.0000,57.3474,0.4779
29.2008,60.0000,57.3474,0.4779
29.2509,60.0000,57.3474,0.4779
29.3009,60.0000,57.3474,0.4779
29.3508,60.0000,57.3474,0.4779
29.4009,60.0000,57.3474,0.4779
29.4509,60.0000,57.3474,0.4779
29.5009,60.0000,57.3474,0.4779
29.5509,60.0000,57.3474,0.4779
29.6010,60.0000,57.3474,0.4779
29.6509,60.0000,57.3474,0.4779
29.7009,60.0000,57.3474,0.4779
29.7505,60.0000,57.3474,0.4779
29.8009,60.0000,57.3474,0.4779
29.8509,60.0000,57.3474,0.4779
29.9009,60.0000,57.3474,0.4779
29.9505,60.0000,57.3474,0.4779
30.0005,60.0000,57.3474,0.4779
30.0505,60.0000,57.3474,0.4779
30.1009,60.0000,57.3474,0.4779
30.1509,60.0000,57.3474,0.4779
30.2009,60.0000,57.3474,0.4779
30.2509,60.0000,57.3474,0.4779
30.3004,60.0000,57.3474,0.4779
30.3509,60.0000,57.3474,0.4779
30.4009,60.0000,57.3474,0.4779
30.4509,60.0000,57.3474,0.4779
30.5009,60.0000,57.3474,0.4779
30.5509,60.0000,57.3474,0.4779
30.6010,60.0000,57.3474,0.4779
30.6508,60.0000,57.3474,0.4779
30.7008,60.0000,57.3474,0.4779
30.7509,60.0000,57.3474,0.4779
30.8009,60.0000,57.3474,0.4779
30.8505,60.0000,57.3474,0.4779
30.9009,60.0000,57.3474,0.4779
30.9509,60.0000,57.3474,0.4779
31.0009,60.0000,57.3474,0.4779
31.0509,60.0000,57.3474,0.4779
31.1009,60.0000,57.3474,0.4779
31.1509,60.0000,57.3474,0.4779
31.2009,60.0000,57.3474,0.4779
31.2511,60.0000,57.3474,0.4779
31.3009,60.0000,57.3474,0.4779
31.3509,60.0000,57.3474,0.4779
31.4009,60.0000,57.3474,0.4779
31.4509,60.0000,57.3474,0.4779
31.5008,60.0000,57.3474,0.4779
31.5509,60.0000,57.3474,0.4779
31.6010,60.0000,57.3474,0.4779
31.6509,60.0000,57.3474,0.4779
31.7008,60.0000,57.3474,0.4779
31.7508,60.0000,57.3474,0.4779
31.8009,60.0000,57.3474,0.4779
31.8509,60.0000,57.3474,0.4779
31.9009,60.0000,57.3474,0.4779
31.9509,60.0000,57.3474,0.4779
32.0009,60.0000,57.3474,0.4779
32.0509,60.0000,57.3474,0.4779
32.1009,60.0000,57.3474,0.4779
32.1509,60.0000,57.3474,0.4779
32.2008,60.0000,57.3474,0.4779
32.2509,60.0000,57.3474,0.4779
32.3009,60.0000,57.3474,0.4779
32.3508,60.0000,57.3474,0.4779
32.4009,60.0000,57.3474,0.4779
32.4509,60.0000,57.3474,0.4779
32.5009,60.0000,57.3474,0.4779
32.5509,60.0000,57.3474,0.4779
32.6009,60.0000,57.3474,0.4779
32.6509,60.0000,57.3474,0.4779
32.7009,60.0000,57.3474,0.4779
32.7509,60.0000,57.3474,0.4779
32.8009,60.0000,57.3474,0.4779
32.8509,60.0000,57.3474,0.4779
32.9009,60.0000,57.3474,0.4779
32.9509,60.0000,57.3474,0.4779
33.0009,60.0000,57.3474,0.4779
33.0509,60.0000,57.3474,0.4779
33.1005,60.0000,57.3474,0.4779
33.1509,60.0000,57.3474,0.4779
33.2009,60.0000,57.3474,0.4779
33.2509,60.0000,57.3474,0.4779
33.3005,60.0000,57.3474,0.4779
33.3509,60.0000,57.3474,0.4779
33.4009,60.0000,57.3474,0.4779
33.4509,60.0000,57.3474,0.4779
33.5008,60.0000,57.3474,0.4779
33.5509,60.0000,57.3474,0.4779
33.6009,60.0000,57.3474,0.4779
33.6509,60.0000,57.3474,0.4779
33.7009,60.0000,57.3474,0.4779
33.7508,60.0000,57.3474,0.4779
33.8004,60.0000,57.3474,0.4779
33.8506,60.0000,57.3474,0.4779
33.9005,60.0000,57.3474,0.4779
33.9508,60.0000,57.3474,0.4779
34.0005,60.0000,57.3474,0.4779
34.0505,60.0000,57.3474,0.4779
34.1005,60.0000,57.3474,0.4779
34.1505,60.0000,57.3474,0.4779
34.2005,60.0000,57.3474,0.4779
34.2505,60.0000,57.3474,0.4779
34.3004,60.0000,57.3474,0.4779
34.3508,60.0000,57.3474,0.4779
34.4009,60.0000,57.3474,0.4779
34.4509,60.0000,57.3474,0.4779
34.5009,60.0000,57.3474,0.4779
34.5505,60.0000,57.3474,0.4779
34.6005,60.0000,57.3474,0.4779
34.6504,60.0000,57.3474,0.4779
34.7004,60.0000,57.3474,0.4779
34.7505,60.0000,57.3474,0.4779
34.8005,60.0000,57.3474,0.4779
34.8509,60.0000,57.3474,0.4779
